time,active_time,evaluations,iterations,nodes,step_size
20418,0,4077,3,35937,27
20445,0,4082,3,35937,27
20472,0,4087,3,35937,27
20499,0,4092,3,35937,27
20526,0,4097,3,35937,27
20553,0,4102,3,35937,27
20580,0,4107,3,35937,27
20607,0,4112,3,35937,27
20634,0,4117,3,35937,27
20661,0,4122,3,35937,27
20688,0,4127,3,35937,27
20715,0,4132,3,35937,27
20742,0,4137,3,35937,27
20769,0,4142,3,35937,27
20796,0,4147,3,35937,27
20823,0,4153,4,35937,27
20850,0,4158,3,35937,27
20877,0,4163,3,35937,27
20904,0,4168,3,35937,27
20931,0,4173,3,35937,27
20958,0,4178,3,35937,27
20985,0,4183,3,35937,27
21012,0,4188,3,35937,27
21039,0,4193,3,35937,27
21066,0,4198,3,35937,27
21093,0,4203,3,35937,27
21120,0,4208,3,35937,27
21147,0,4213,3,35937,27
21174,0,4218,3,35937,27
21201,0,4223,3,35937,27
21228,0,4228,3,35937,27
21255,0,4233,3,35937,27
21282,0,4238,3,35937,27
21309,0,4244,4,35937,27
21336,0,4250,4,35937,27
21363,0,4256,4,35937,27
21390,0,4261,3,35937,27
21417,0,4266,3,35937,27
21444,0,4271,3,35937,27
21471,0,4276,3,35937,27
21498,0,4281,3,35937,27
21525,0,4286,3,35937,27
21552,0,4291,3,35937,27
21579,0,4297,4,35937,27
21606,0,4303,4,35937,27
21633,0,4309,4,35937,27
21660,0,4315,4,35937,27
21687,0,4320,3,35937,27
21714,0,4326,4,35937,27
21741,0,4332,4,35937,27
21768,0,4338,4,35937,27
21795,0,4344,4,35937,27
21822,0,4349,3,35937,27
21849,0,4354,3,35937,27
21876,0,4359,3,35937,27
21903,0,4364,3,35937,27
21930,0,4369,3,35937,27
21957,0,4374,3,35937,27
21984,0,4379,3,35937,27
22011,0,4384,3,35937,27
22038,0,4389,3,35937,27
22065,0,4394,3,35937,27
22092,0,4399,3,35937,27
22119,0,4404,3,35937,27
22146,0,4409,3,35937,27
22173,0,4414,3,35937,27
22200,0,4419,3,35937,27
22227,0,4424,3,35937,27
22254,0,4429,3,35937,27
22281,0,4434,3,35937,27
22308,0,4439,3,35937,27
22335,0,4444,3,35937,27
22362,0,4449,3,35937,27
22389,0,4454,3,35937,27
22416,0,4459,3,35937,27
22443,0,4464,3,35937,27
22470,0,4469,3,35937,27
22497,0,4474,3,35937,27
22524,0,4479,3,35937,27
22551,0,4484,3,35937,27
22578,0,4489,3,35937,27
22605,0,4494,3,35937,27
22632,0,4499,3,35937,27
22659,0,4504,3,35937,27
22686,0,4509,3,35937,27
22713,0,4514,3,35937,27
22740,0,4519,3,35937,27
22767,0,4524,3,35937,27
22794,0,4529,3,35937,27
22821,0,4534,3,35937,27
22848,0,4539,3,35937,27
22875,0,4544,3,35937,27
22902,0,4549,3,35937,27
22929,0,4554,3,35937,27
22956,0,4559,3,35937,27
22983,0,4564,3,35937,27
23010,0,4569,3,35937,27
23037,0,4574,3,35937,27
23064,0,4579,3,35937,27
23091,0,4584,3,35937,27
23118,0,4589,3,35937,27
23145,0,4594,3,35937,27
23172,0,4599,3,35937,27
23199,0,4604,3,35937,27
23226,0,4609,3,35937,27
23253,0,4614,3,35937,27
23280,0,4619,3,35937,27
23307,0,4624,3,35937,27
23334,0,4629,3,35937,27
23361,0,4634,3,35937,27
23388,0,4639,3,35937,27
23415,0,4644,3,35937,27
23442,0,4650,4,35937,27
23469,0,4655,3,35937,27
23496,0,4661,4,35937,27
23523,0,4666,3,35937,27
23550,0,4671,3,35937,27
23577,0,4676,3,35937,27
23604,0,4681,3,35937,27
23631,0,4686,3,35937,27
23658,0,4691,3,35937,27
23685,0,4696,3,35937,27
23712,0,4701,3,35937,27
23739,0,4706,3,35937,27
23766,0,4711,3,35937,27
23793,0,4716,3,35937,27
23820,0,4721,3,35937,27
23847,0,4726,3,35937,27
23874,0,4731,3,35937,27
23901,0,4736,3,35937,27
23928,0,4741,3,35937,27
23955,0,4746,3,35937,27
23982,0,4751,3,35937,27
24009,0,4756,3,35937,27
24036,0,4761,3,35937,27
24063,0,4766,3,35937,27
24090,0,4771,3,35937,27
24117,0,4776,3,35937,27
24144,0,4781,3,35937,27
24171,0,4786,3,35937,27
24198,0,4791,3,35937,27
24225,0,4796,3,35937,27
24252,0,4801,3,35937,27
24279,0,4806,3,35937,27
24306,0,4811,3,35937,27
24333,0,4816,3,35937,27
24360,0,4821,3,35937,27
24387,0,4826,3,35937,27
24414,0,4831,3,35937,27
24441,0,4836,3,35937,27
